county_fips,county_name,county_population,cbsa_fips,cbsa_title,area_type,central_outlying_county,state_codes,state_fips,state_name
1001,Autauga County,55200,33860,"Montgomery, AL",Metro,Central,AL,1,Alabama
1003,Baldwin County,208107,19300,"Daphne-Fairhope-Foley, AL",Metro,Central,AL,1,Alabama
1005,Barbour County,25782,21640,"Eufaula, AL-GA",Micro,Central,AL,1,Alabama
1007,Bibb County,22527,13820,"Birmingham-Hoover, AL",Metro,Outlying,AL,1,Alabama
1009,Blount County,57645,13820,"Birmingham-Hoover, AL",Metro,Outlying,AL,1,Alabama
1011,Bullock County,10352,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1013,Butler County,20025,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1015,Calhoun County,115098,11500,"Anniston-Oxford, AL",Metro,Central,AL,1,Alabama
1017,Chambers County,33826,29300,"LaGrange, GA-AL",Micro,Outlying,AL,1,Alabama
1019,Cherokee County,25853,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1021,Chilton County,43930,13820,"Birmingham-Hoover, AL",Metro,Outlying,AL,1,Alabama
1023,Choctaw County,13075,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1025,Clarke County,24387,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1027,Clay County,13378,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1029,Cleburne County,14938,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1031,Coffee County,51288,21460,"Enterprise, AL",Micro,Central,AL,1,Alabama
1033,Colbert County,54495,22520,"Florence-Muscle Shoals, AL",Metro,Central,AL,1,Alabama
1035,Conecuh County,12514,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1037,Coosa County,10855,10760,"Alexander City, AL",Micro,Outlying,AL,1,Alabama
1039,Covington County,37351,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1041,Crenshaw County,13865,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1043,Cullman County,82313,18980,"Cullman, AL",Micro,Central,AL,1,Alabama
1045,Dale County,49255,37120,"Ozark, AL",Micro,Central,AL,1,Alabama
1047,Dallas County,40029,42820,"Selma, AL",Micro,Central,AL,1,Alabama
1049,DeKalb County,71200,22840,"Fort Payne, AL",Micro,Central,AL,1,Alabama
1051,Elmore County,81212,33860,"Montgomery, AL",Metro,Central,AL,1,Alabama
1053,Escambia County,37328,12120,"Atmore, AL",Micro,Central,AL,1,Alabama
1055,Etowah County,102939,23460,"Gadsden, AL",Metro,Central,AL,1,Alabama
1057,Fayette County,16585,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1059,Franklin County,31542,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1061,Geneva County,26491,20020,"Dothan, AL",Metro,Outlying,AL,1,Alabama
1063,Greene County,8426,46220,"Tuscaloosa, AL",Metro,Outlying,AL,1,Alabama
1065,Hale County,14887,46220,"Tuscaloosa, AL",Metro,Outlying,AL,1,Alabama
1067,Henry County,17124,20020,"Dothan, AL",Metro,Outlying,AL,1,Alabama
1069,Houston County,104352,20020,"Dothan, AL",Metro,Central,AL,1,Alabama
1071,Jackson County,52094,42460,"Scottsboro, AL",Micro,Central,AL,1,Alabama
1073,Jefferson County,659892,13820,"Birmingham-Hoover, AL",Metro,Central,AL,1,Alabama
1075,Lamar County,13933,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1077,Lauderdale County,92585,22520,"Florence-Muscle Shoals, AL",Metro,Central,AL,1,Alabama
1079,Lawrence County,33171,19460,"Decatur, AL",Metro,Outlying,AL,1,Alabama
1081,Lee County,159287,12220,"Auburn-Opelika, AL",Metro,Central,AL,1,Alabama
1083,Limestone County,93052,26620,"Huntsville, AL",Metro,Outlying,AL,1,Alabama
1085,Lowndes County,10236,33860,"Montgomery, AL",Metro,Outlying,AL,1,Alabama
1087,Macon County,19054,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1089,Madison County,357560,26620,"Huntsville, AL",Metro,Central,AL,1,Alabama
1091,Marengo County,19538,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1093,Marion County,29965,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1095,Marshall County,95145,10700,"Albertville, AL",Micro,Central,AL,1,Alabama
1097,Mobile County,414659,33660,"Mobile, AL",Metro,Central,AL,1,Alabama
1099,Monroe County,21512,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1101,Montgomery County,226941,33860,"Montgomery, AL",Metro,Central,AL,1,Alabama
1103,Morgan County,119122,19460,"Decatur, AL",Metro,Central,AL,1,Alabama
1105,Perry County,9486,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1107,Pickens County,20298,46220,"Tuscaloosa, AL",Metro,Outlying,AL,1,Alabama
1109,Pike County,33403,45980,"Troy, AL",Micro,Central,AL,1,Alabama
1111,Randolph County,22574,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1113,Russell County,58213,17980,"Columbus, GA-AL",Metro,Central,AL,1,Alabama
1115,St. Clair County,87306,13820,"Birmingham-Hoover, AL",Metro,Outlying,AL,1,Alabama
1117,Shelby County,211261,13820,"Birmingham-Hoover, AL",Metro,Central,AL,1,Alabama
1119,Sumter County,12985,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1121,Talladega County,80565,45180,"Talladega-Sylacauga, AL",Micro,Central,AL,1,Alabama
1123,Tallapoosa County,40636,10760,"Alexander City, AL",Micro,Central,AL,1,Alabama
1125,Tuscaloosa County,206213,46220,"Tuscaloosa, AL",Metro,Central,AL,1,Alabama
1127,Walker County,64493,27530,"Jasper, AL",Micro,Central,AL,1,Alabama
1129,Washington County,16643,33660,"Mobile, AL",Metro,Outlying,AL,1,Alabama
1131,Wilcox County,10809,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
1133,Winston County,23875,90001,Rest of Alabama,Rural,Rural,AL,1,Alabama
2013,Aleutians East Borough,3425,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2016,Aleutians West Census Area,5750,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2020,Anchorage Municipality,296112,11260,"Anchorage, AK",Metro,Central,AK,2,Alaska
2050,Bethel Census Area,18040,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2060,Bristol Bay Borough,890,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2068,Denali Borough,2232,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2070,Dillingham Census Area,4975,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2090,Fairbanks North Star Borough,99653,21820,"Fairbanks, AK",Metro,Central,AK,2,Alaska
2100,Haines Borough,2518,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2105,Hoonah-Angoon Census Area,2132,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2110,Juneau City and Borough,32330,27940,"Juneau, AK",Micro,Central,AK,2,Alaska
2122,Kenai Peninsula Borough,58220,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2130,Ketchikan Gateway Borough,13804,28540,"Ketchikan, AK",Micro,Central,AK,2,Alaska
2150,Kodiak Island Borough,13649,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2158,Kusilvak Census Area,8198,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2164,Lake and Peninsula Borough,1375,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2170,Matanuska-Susitna Borough,103464,11260,"Anchorage, AK",Metro,Outlying,AK,2,Alaska
2180,Nome Census Area,9925,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2185,North Slope Borough,9797,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2188,Northwest Arctic Borough,7734,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
2195,Petersburg Census Area,3255,90002,Rest of Alaska,Rural,Rural,AK,2,Alaska
