instrument_q,variable,description,universe,question,question_clean,range,description_recode,order,question_type,topic_area,universe_recode,type_of_variable,multi_index_cols,stacked_crosstab_features,stacked_question_features,select_all_that_apply,level_p_or_h
-,SCRAM,Record identifier,All persons,-,,Varying,Record identifier,1,Generated,ID,All Persons,ID,1,0,0,0,both
-,WEEK,Week of interview,All persons,-,,21,Week of interview,2,Generated,Time,All Persons,TIME,1,0,0,0,both
-,PWEIGHT,Person level weight,0,-,,Varying,Person level weight,3,Generated,Weight,All Persons,WEIGHT,1,0,0,0,both
-,HWEIGHT,Household level weight,0,-,,Varying,Household level weight,4,Generated,Weight,All Persons,WEIGHT,1,0,0,0,both
-,EST_ST,State,0,-,,Jan-56,State,5,Input Value,Geographic,All Persons,GEOCODE,1,0,0,0,both
-,EST_MSA,Metropolitan statistical area,0,-,,Varying,Metropolitan statistical area,6,Input Value,Geographic,All Persons,GEOCODE,1,0,0,0,both
-,REGION,Recode of EST_ST for Census Region,All Persons,Recode of EST_ST for Census Region,,"1,2,3,4",Census Region,7,Multiple Choice,Geographic,All Persons,QUESTION,1,0,0,0,both
-,ABIRTH_YEAR,Year of birth allocation flag,All persons,-,,"1,2",Year of birth allocation flag,8,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,person
-,AGENDER,Gender allocation flag,All persons,-,,"1,2",Gender allocation flag,9,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,person
-,AHISPANIC,Hispanic origin allocation flag,All persons,-,,"1,2",Hispanic origin allocation flag,10,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,person
-,ARACE,Race allocation flag,All persons,-,,"1,2",Race allocation flag,11,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,person
-,AEDUC,Educational attainment allocation flag,All persons,-,,"1,2",Educational attainment allocation flag,12,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,person
-,AHHLD_NUMPER,Household size allocation flag,All persons,-,,"1,2",Household size allocation flag,13,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,household
-,AHHLD_NUMKID,Number of children allocation flag,All persons,-,,"1,2",Number of children allocation flag,14,Binary Outcome,Metadata,All Persons,FLAG,0,0,0,0,household
1,TBIRTH_YEAR,Year of birth,All persons born before 2002,What year were you born? Please enter a number.,What year were you born?,1965:22:00,Year of birth,15,Input Value,Demographic,TBIRTH_YEAR < 2002,NUMERIC,0,1,0,0,person
2,EGENDER,Gender,All persons born before 2002,Are you… Select only one answer.,Are you…?,1:02,Gender,16,Multiple Choice,Demographic,TBIRTH_YEAR < 2002,QUESTION,0,1,0,0,person
Recode of 3,RHISPANIC,Hispanic origin,All persons born before 2002,"Are you of Hispanic, Latino, or Spanish origin? - Selected Choice","Are you of Hispanic, Latino, or Spanish origin?",1:02,"Hispanic, Latino, or Spanish origin",17,Multiple Choice,Demographic,TBIRTH_YEAR < 2002,QUESTION,0,1,0,0,person
Recode of 4,RRACE,Race,All persons born before 2002,What is your race? Please select all that apply. - Selected Choice,What is your race?,1:04,Race,18,Multiple Choice,Demographic,TBIRTH_YEAR < 2002,QUESTION,0,1,0,0,person
