variable,variable_group,value,label,label_recode,do_not_join
SCRAM,SCRAM,VALUE,,,1
WEEK,WEEK,VALUE,,,1
PWEIGHT,PWEIGHT,VALUE,,,1
HWEIGHT,HWEIGHT,VALUE,,,1
EST_ST,EST_ST,VALUE,,,1
EST_MSA,EST_MSA,VALUE,,,1
REGION,REGION,1,Northeast,1 - Northeast,0
REGION,REGION,2,South,2 - South,0
REGION,REGION,3,Midwest,3 - Midwest,0
REGION,REGION,4,West,4 - West,0
ABIRTH_YEAR,ABIRTH_YEAR,1,Imputed,1 - Imputed,0
ABIRTH_YEAR,ABIRTH_YEAR,2,Not imputed,2 - Not imputed,0
AGENDER,AGENDER,1,Imputed,1 - Imputed,0
AGENDER,AGENDER,2,Not imputed,2 - Not imputed,0
AHISPANIC,AHISPANIC,1,Imputed,1 - Imputed,0
AHISPANIC,AHISPANIC,2,Not imputed,2 - Not imputed,0
ARACE,ARACE,1,Imputed,1 - Imputed,0
ARACE,ARACE,2,Not imputed,2 - Not imputed,0
AEDUC,AEDUC,1,Imputed,1 - Imputed,0
AEDUC,AEDUC,2,Not imputed,2 - Not imputed,0
AHHLD_NUMPER,AHHLD_NUMPER,1,Imputed,1 - Imputed,0
AHHLD_NUMPER,AHHLD_NUMPER,2,Not imputed,2 - Not imputed,0
AHHLD_NUMKID,AHHLD_NUMKID,1,Imputed,1 - Imputed,0
AHHLD_NUMKID,AHHLD_NUMKID,2,Not imputed,2 - Not imputed,0
TBIRTH_YEAR,TBIRTH_YEAR,VALUE,1932-2002,,1
EGENDER,EGENDER,1,Male,1 - Men,0
EGENDER,EGENDER,2,Female,2 - Women,0
RHISPANIC,RHISPANIC,1,"No, not of Hispanic, Latino, or Spanish origin",1 - Not Latino,0
RHISPANIC,RHISPANIC,2,"Yes, of Hispanic, Latino, or Spanish origin",2 - Latino,0
RRACE,RRACE,1,"White, Alone",1 - White,0
RRACE,RRACE,2,"Black, Alone",2 - Black,0
RRACE,RRACE,3,"Asian, Alone",3 - Asian,0
RRACE,RRACE,4,"Any other race alone, or race in combination",4 - Other,0
EEDUC,EEDUC,1,Less than high school,1 - Less than a Bachelor's degree,0
EEDUC,EEDUC,2,Some high school,1 - Less than a Bachelor's degree,0
EEDUC,EEDUC,3,High school graduate or equivalent (for example GED),1 - Less than a Bachelor's degree,0
EEDUC,EEDUC,4,"Some college, but degree not received or is in progress",1 - Less than a Bachelor's degree,0
EEDUC,EEDUC,5,"Associate’s degree (for example AA, AS)",1 - Less than a Bachelor's degree,0
EEDUC,EEDUC,6,"Bachelor's degree (for example BA, BS, AB)",2 - Bachelor's degree or higher,0
EEDUC,EEDUC,7,"Graduate degree (for example master's, professional, doctorate)",2 - Bachelor's degree or higher,0
MS,MS,1,Now married,1 - Married,0
MS,MS,2,Widowed,2 - Unmarried or alone,0
MS,MS,3,Divorced,2 - Unmarried or alone,0
MS,MS,4,Separated,2 - Unmarried or alone,0
MS,MS,5,Never married,2 - Unmarried or alone,0
THHLD_NUMPER,THHLD_NUMPER,VALUE,(1-40) number of people (whole number),,1
THHLD_NUMKID,THHLD_NUMKID,VALUE,(0-40) number of people under 18 (whole number),,1
THHLD_NUMADLT,THHLD_NUMADLT,VALUE,1-40) number of people (whole number),,1
WRKLOSS,WRKLOSS,1,Yes,1 - Recent household job loss,0
WRKLOSS,WRKLOSS,2,No,2 - No recent household job loss,0
EXPCTLOSS,EXPCTLOSS,1,Yes,1 - Expected household job loss,0
EXPCTLOSS,EXPCTLOSS,2,No,2 - No expected household job loss,0
ANYWORK,ANYWORK,2,No,1 - No wages or salary,0
ANYWORK,ANYWORK,1,Yes,2 - Earned wages or salary,0
KINDWORK,KINDWORK,1,Government,1 - Public sector,0
KINDWORK,KINDWORK,2,Private company,2 - Private sector,0
KINDWORK,KINDWORK,3,Non-profit organization including tax exempt and charitable organizations,3 - Non-profit,0
KINDWORK,KINDWORK,4,Self-employed,4 - Family business / self-employed,0
KINDWORK,KINDWORK,5,Working in a family business,4 - Family business / self-employed,0
RSNNOWRK,RSNNOWRK,1,I did not want to be employed at this time,1 - Not employed,0
RSNNOWRK,RSNNOWRK,2,I am/was sick with coronavirus symptoms,2 - COVID-related illness,0
RSNNOWRK,RSNNOWRK,3,I am/was caring for someone with coronavirus symptoms,2 - COVID-related illness,0
RSNNOWRK,RSNNOWRK,13,I was concerned about getting or spreading the coronavirus,2 - COVID-related illness,0
RSNNOWRK,RSNNOWRK,4,I am/was caring for children not in school or daycare,3 - Caring for child or elder,0
RSNNOWRK,RSNNOWRK,5,I am/was caring for an elderly person,3 - Caring for child or elder,0
RSNNOWRK,RSNNOWRK,6,I am/was sick (not coronavirus related) or disabled,4 - Non-COVID illness,0
RSNNOWRK,RSNNOWRK,7,I am retired,5 - Retired,0
RSNNOWRK,RSNNOWRK,8,My employer experienced a reduction in business (including furlough) due to coronavirus pandemic,"6 - Furlough, layoff, or closure",0
RSNNOWRK,RSNNOWRK,9,I am/was laid off due to coronavirus pandemic,"6 - Furlough, layoff, or closure",0
RSNNOWRK,RSNNOWRK,10,My employer closed temporarily due to the coronavirus pandemic,"6 - Furlough, layoff, or closure",0
RSNNOWRK,RSNNOWRK,11,My employer went out of business due to the coronavirus pandemic,"6 - Furlough, layoff, or closure",0
RSNNOWRK,RSNNOWRK,12,"Other reason, please specify",7 - Other reason,0
TW_START,TW_START,1,"Yes, at least one adult substituted some or all of their typical in-person work for telework",1 - Working remote,0
TW_START,TW_START,3,"No, there has been no change in telework",1 - Working remote,0
TW_START,TW_START,2,"No, no adults substituted their typical in-person work for telework",2 - No telework available,0
UNEMPPAY,UNEMPPAY,1,"Yes, I use paid leave",1 - Paid leave or full pay for not working,0
UNEMPPAY,UNEMPPAY,2,"Yes, I receive full pay but do not have to take leave",1 - Paid leave or full pay for not working,0
UNEMPPAY,UNEMPPAY,3,"Yes, I receive partial pay",2 - Partial pay for not working,0
UNEMPPAY,UNEMPPAY,4,"No, I receive no pay",3 - No paid leave for not working,0
UI_APPLY,UI_APPLY,1,Yes,1 - Applied for UI,0
UI_APPLY,UI_APPLY,2,No,2 - Did not apply for UI,0
UI_RECV,UI_RECV,2,No,"1 - Applied for UI, but did not receive",0
UI_RECV,UI_RECV,1,Yes,2 - Applied and received UI,0
TUI_NUMPER,TUI_NUMPER,VALUE,(1-40) number of people (whole number),,1
INCOME,INCOME,1,"Less than $25,000","1 - Less than $25,000",0
INCOME,INCOME,2,"$25,000 - $34,999","2 - $25,000 - $34,999",0
INCOME,INCOME,3,"$35,000 - $49,999","3 - $35,000 - $49,999",0
INCOME,INCOME,4,"$50,000 - $74,999","4 - $50,000 - $74,999",0
INCOME,INCOME,5,"$75,000 - $99,999","5 - $75,000 - $99,999",0
INCOME,INCOME,6,"$100,000 - $149,999","6 - $100,000 - $149,999",0
INCOME,INCOME,7,"$150,000 - $199,9998) $200,000 and above","7 - $150,000 - $199,999",0
INCOME,INCOME,8,"$200,000 and above","8 - $200,000 and above",0
SSA_RECV,SSA_RECV,1,Yes,1 - Receives social security,0
SSA_RECV,SSA_RECV,2,No,2 - Does not receive social security,0
SSA_APPLY,SSA_APPLY,1,"Yes, applied or attempted to apply",1 - Applied for social security,0
SSA_APPLY,SSA_APPLY,2,No,2 - Did not apply for social security,0
SSAPGM1,SSAPGM,1,Social Security Retirement,1 - Social Security Retirement,0
SSAPGM2,SSAPGM,1,Social Security Disability,2 - Social Security Disability,0
SSAPGM3,SSAPGM,1,Social Security Survivors,3 - Social Security Survivors,0
SSAPGM4,SSAPGM,1,Supplemental Security Income (SSI),4 - Supplemental Security Income (SSI),0
SSAPGM5,SSAPGM,1,Medicare,5 - Medicare,0
SSALIKELY,SSALIKELY,1,Extremely likely,1 - Somewhat to very likely,0
